id,x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
alessandra,249,-27,-68,-17,-83,-246,11
alessandra,249,-21,-65,-27,-75,-238,11
alessandra,252,-28,-49,-48,-66,-239,11
alessandra,250,-65,6,-38,-65,-241,11
alessandra,248,-67,-28,-29,-65,-242,11
alessandra,250,-63,-25,-33,-67,-241,11
alessandra,250,-63,-22,-32,-67,-241,11
alessandra,250,-62,-26,-32,-67,-242,11
alessandra,250,-62,-21,-32,-67,-242,11
alessandra,250,-62,-23,-31,-67,-242,11
alessandra,250,-63,-22,-32,-67,-242,11
alessandra,250,-62,-22,-32,-67,-241,11
alessandra,249,-64,-24,-32,-67,-242,11
alessandra,250,-63,-24,-32,-67,-242,11
alessandra,250,-63,-21,-31,-67,-242,11
alessandra,249,-63,-25,-31,-67,-241,11
alessandra,250,-63,-17,-31,-67,-241,11
alessandra,249,-63,-24,-31,-67,-241,11
alessandra,250,-63,-21,-32,-67,-241,11
alessandra,250,-63,-22,-31,-67,-241,11
alessandra,250,-63,-20,-31,-67,-241,11
alessandra,250,-63,-19,-31,-67,-242,11
alessandra,250,-64,-22,-31,-67,-241,11
alessandra,250,-63,-18,-31,-67,-241,11
alessandra,249,-64,-24,-31,-67,-241,11
alessandra,249,-64,-24,-31,-67,-241,11
alessandra,250,-63,-16,-31,-67,-242,11
alessandra,250,-64,-24,-31,-67,-242,11
alessandra,251,-63,-14,-31,-67,-241,11
alessandra,249,-64,-23,-31,-67,-242,11
alessandra,250,-63,-13,-31,-67,-241,11
alessandra,250,-64,-24,-31,-67,-241,11
alessandra,250,-63,-11,-31,-67,-241,11
alessandra,250,-64,-23,-31,-67,-241,11
alessandra,250,-63,-15,-31,-67,-242,11
alessandra,249,-64,-23,-31,-67,-241,11
alessandra,250,-63,-13,-31,-67,-242,11
alessandra,249,-64,-24,-31,-67,-241,11
alessandra,250,-63,-14,-31,-67,-241,11
alessandra,249,-64,-23,-31,-67,-241,11
